Eje,Metrica,Comunes,UM,Dirección,Meta (%23),Real,Importancia,Cumple %23,Cumple?,Corte,Año Esquema,Pilar ASG
CDS,00. Objetivos,05. Mantener el margen operativo en un 40%,,%,Arriba es bueno (>= Meta),"0,4","0,45",2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,06. Ahorros del 2% de las compras en 2025,,%,Arriba es bueno (>= Meta),"0,01","0,01",2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,07. Mantener 98% de Veracidad de los  Inventarios de Sumimsa,,%,Arriba es malo (<= Meta),"0,98","0,98",2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,08. Mantener un servicio a cliente a un 90% / Inventarios,,%,Arriba es malo (<= Meta),"0,9",78,2,1,Si,2025-12-31T08:00:00Z,25
CDS,00. Objetivos,10. Incrementar a 95% el promedio de las BDs contra contrato,,%,Arriba es bueno (>= Meta),"0,95","0,94",2,1,Si,2025-12-31T08:00:00Z,25
Finanzas,00. Objetivos,01. Control Presupuestal,,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,00. Objetivos,02. Análisis para optimizar el margen de Utilidad Operativa,,%,Arriba es bueno (>= Meta),1,"0,5",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
Finanzas,00. Objetivos,03. Estimación y seguimiento en el Flujo de Efectivo,,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,00. Objetivos,04. Benchmark Costos Operativos,,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,02. Indicadores de Negocio,05. Mejorar los Días de Ciclo del Negocio,,%,Arriba es bueno (>= Meta),1,"0,5",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
Finanzas,02. Indicadores de Negocio,06. Cumplimiento Obligaciones Fiscales en Tiempo y Forma,,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,02. Indicadores de Negocio,07. Resultado Fiscal Proyectado con Propuestas de Ahorro,,%,Arriba es bueno (>= Meta),1,1,3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,00. Objetivos,08. Check List de Auditoría,,%,Arriba es bueno (>= Meta),1,"0,5",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
Finanzas,00. Objetivos,09. Control de Activos Fijos,,%,Arriba es bueno (>= Meta),1,"0,5",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
Finanzas,03. 360,01. Integridad,,%,Arriba es bueno (>= Meta),"0,75","0,91",3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,03. 360,02. Efectividad,,%,Arriba es bueno (>= Meta),"0,75","0,9",3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,03. 360,03. Trabajo Colaborativo,,%,Arriba es bueno (>= Meta),"0,75","0,92",3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,03. 360,04. Responsabilidad,,%,Arriba es bueno (>= Meta),"0,75","0,94",3,1,Si,2025-12-31T08:00:00Z,25
Finanzas,03. 360,05. Enfoque al Cliente,,%,Arriba es bueno (>= Meta),"0,75","0,89",3,1,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,01. EBIT del Contrato 3601,x,%,Arriba es bueno (>= Meta),"0,3","0,3",1,1,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,02. EBIT del Contrato 3602,x,%,Arriba es bueno (>= Meta),"0,3","0,3",1,1,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,03. EBIT del Contrato 3625,x,%,Arriba es bueno (>= Meta),"0,18","0,15",2,"0,5",Parcial,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,04. Valor de Inventario / Turn Over TLL,x,M,Arriba es malo (<= Meta),4,"4,73",2,1,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,05. Volumen de Ventas Contrato 3601,,M,Arriba es bueno (>= Meta),44,"43,96",2,1,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,06. Volumen de Ventas Contrato 3602,,M,Arriba es bueno (>= Meta),80,"81,083",2,1,Si,2025-12-31T08:00:00Z,25
